State,Abbreviation,Population
Alabama,AL,328239523
Alaska,AK,4903185
Arizona,AZ,731545
Arkansas,AR,7278717
California,CA,3017804
Colorado,CO,39512223
Connecticut,CT,5758736
Delaware,DE,3565287
Florida,FL,973764
Georgia,GA,705749
Hawaii,HI,21477737
Idaho,ID,10617423
Illinois,IL,1415872
Indiana,IN,1787065
Iowa,IA,12671821
Kansas,KS,6732219
Kentucky,KY,3155070
Louisiana,LA,2913314
Maine,ME,4467673
Maryland,MD,4648794
Massachusetts,MA,1344212
Michigan,MI,6045680
Minnesota,MN,6892503
Mississippi,MS,9986857
Missouri,MO,5639632
Montana,MT,2976149
Nebraska,NE,6137428
Nevada,NV,1068778
New Hampshire,NH,1934408
New Jersey,NJ,3080156
New Mexico,NM,1359711
New York,NY,8882190
North Carolina,NC,2096829
North Dakota,ND,19453561
Ohio,OH,10488084
Oklahoma,OK,762062
Oregon,OR,11689100
Pennsylvania,PA,3956971
Rhode Island,RI,4217737
South Carolina,SC,12801989
South Dakota,SD,1059361
Tennessee,TN,5148714
Texas,TX,884659
Utah,UT,6829174
Vermont,VT,28995881
Virginia,VA,3205958
Washington,WA,623989
West Virginia,WV,8535519
Wisconsin,WI,7614893
Wyoming,WY,1792147
Washington DC,DC,5822434
